title,author,content
From “A Self to Hold the Self”,Rajiv Mohabir,"You broke from
my branch to fly.

Without you I’m lost
to Maya. This dooryard treeless.

Shade and illusion
join limbs
to hammock the path.

What are mother, father, brother, nephew
but whispers of my own self;

in the next world
what of relation?

Saiya, whose is this hand;
whose is that hand?

____

aasa versus aafat
which precedes the other?

hope and pain
so simple the word substitution

like a body possessed by spirit
one incarnation
another incarnation—

Which courtyard which tree?
Only gaps then
gasps.

____

’E mean fe seh how me punish you been go ’wat—gan from hiya. Me na get none kine mine fe do nutin’.

Me see de whole place empty fe so, yuh gan an’ na get non place fe me siddung.

Me mai-baap na deh, me bhai ke pickni na deh.

Na sas, sasur, nephew none bady na deh.

So come so done.

Me mus hol’ me own han’.

____

____

Dark friend or self
hope or despair in velvet
loneliness—

No plant reaches from here
to the sky;

this is not a house
nor a court.

To think of descent:
who comes after
the eye, watching the dream,

the mind watching the eye
the letter into sense.

A self to hold the self,
warm skin on warm
skin?

____

Moon na deh Chanda Mamu
dur gaile an’ black black ratiya lef’ hiya.

De eart’ de mati barren
na mud na man deh.

Mati mean fe seh
none ground none soil.

Mati mean fe seh
none bady none jahaj-bhai

na deh.

So talk plain—
whe’ an’ how tree go grow

when abi na get tree dis side?

____

____

A bitter leafed tree
greens between the cracks of hope
and pain; blues berries.

____

Only at night
between wake or thought,
between tree and leaf,

flesh to sinew grafted
as night to moon.

What is illumination without
ligament?
Why trouble imagery:

a ship wheel to steer
into the Unreal.
Yes, I’ve studied Vedanta,

my own bone crown
sutured and sutured and sure

until like a leaf my
chlorophyll burned

first fire then gold—

a metaphor for waking,
a new body’s eyes glint
by pyre light."
From “Con R: An Act for Making”,Madeleine Wattenberg,
The Grain,Chad Bennett,
Handwriting,Fatemeh Shams,"You can tell from my uneven hand
from the hunched back of my “Shin”
from the crooked lines of my “Noon”
I’m under the lash of forgetting my native script.

I walk
toward the sea, toward the words
sinking low
then lower.

Break this hand that refuses to admit
it’s a thousand times harder to wander from tongue to tongue
than land to land.
 Translated from the Persian"
Healing Will Come: Elegy after Natural Disaster,Patricia Jabbeh Wesley,"She searches the ruins like someone
who has wandered so far away.

Six children, I had six children,
she tells herself. All around, her world
has become twigs of splintered pieces
of a long-ago life,
not so long ago.

She lays down one child alongside another
child, alongside another,
but then, she stands there, wiping her
eyes, looking ahead, turning over

the ruins of pieces of a place that once
was, in the ruins of a life that once was.
But they were six children, she says,
six, dead, or alive.

A mother knows what it means
to have six, not three, but six living
children, not three only, dead,
and there, the tears, calming for now,
calming, for now.
Always.

What would I do without tears,
I used to ask myself in another world.
What would she do without tears,
I now ask myself, and now,
the water from her eyes, unlike
the water that has taken
everything away with it.

Somewhere, always, somewhere,
there’s a day when healing comes.
Wasn’t this what life was supposed to bring,
after death, the healing?
Healing refuses to be lost to death,
I say, healing will come."
The Heart As,Heather Nagami,"


"
Like a Ping Pong Ball,Jill Zheng,
nub,Tarik Dobbs,
Prelude,Ae Hee Lee,"I don’t deny it. I’ve taken the dagger
of my tongue and gently
run it over your ear. I’ve often

thought Umma, said Mother, thought
it wasn’t my mother whom I’d spoken about—
all this without you suspecting me,

I’d like to think. I’ve whispered Te quiero to actually mean
I want you. I had to use a  Japanese word, ginko, to explain
in English my first time seeing the splitting yellow
fans of eun-haeng leaves in Korea.

There’s so much of the past in these
choices. Let me tell you

how I wished for a long, unfractured life:
I slurped noodles, threaded
needles. But again and again I dreamt
I was a series of footprints
pressed deep into the earth, covered in snow.

I told my parents about this, saying:
나는 hilo의 삶을 바랬어요
조심스럽고 잘리지 않게 자라고싶었어요. 하지만 soñé
que me había vuelto muchos 발자국들, 땅에 깊이 눌려진 발자국들,
cubiertos de nieve.

Do you trust me? Trust me,
just in the beginning. Then translate
me for yourself, question me

unsparingly like a sparrow
to another sparrow about breadcrumbs."
Red Meat: Fragments of Stesichoros,Anne Carson,"I. GERYON

Geryon was a monster everything about him was red
Put his snout out of the covers in the morning it was red
How stiff the red landscape where his cattle scraped against
Their hobbles in the red wind
Burrowed himself down in the red dawn jelly of Geryon's
Dream

Geryon's dream began red then slipped out of the vat and ran
Upsail broke silver shot up through his roots like a pup

Secret pup At the front end of another red day



II. MEANWHILE HE CAME

Across the salt knobs it was Him
Knew about the homegold
Had sighted red smoke above the red spires



III. GERYON'S PARENTS

If you persist in wearing your mask at the supper table
Well Goodnight Then they said and drove him up
Those hemorrhaging stairs to the hot dry Arms
To the ticking red taxi of the incubus
Don't want to go want to stay Downstairs and read



IV. GERYON'S DEATH BEGINS

Geryon walked the red length of his mind and answered No
It was murder And torn to see the cattle lay
All these darlings said Geryon And now me



V. GERYON'S REVERSIBLE DESTINY

His mother saw it mothers are like that
Trust me she said Engineer of his softness
You don't have to make up your mind right away
Behind her red right cheek Geryon could see
Coil of the hot plate starting to glow



VI. MEANWHILE IN HEAVEN

Athena was looking down through the floor
Of the glass-bottomed boat Athena pointed
Zeus looked Him



VII. GERYON'S WEEKEND

Later well later they left the bar went back to the centaur's
Place the centaur had a cup made out of a skull Holding three
Measures of wine Holding it he drank Come over here you can
Bring your drink if you're afraid to come alone The centaur
Patted the sofa beside him Reddish yellow small alive animal
Not a bee moved up Geryon's spine on the inside



VIII. GERYON'S FATHER

A quiet root may know how to holler He liked to
Suck words Here is an almighty one he would say
After days of standing in the doorway
NIGHTBOLLSNORTED



IX. GERYON'S WAR RECORD

Geryon lay on the ground covering his ears The sound
Of the horses like roses being burned alive



X. SCHOOLING

In those days the police were weak Family was strong
Hand in hand the first day Geryon'ş mother took him to
School She neatened his little red wings and pushed him
In through the door



XI. RIGHT

Are there many little boys who think they are a
Monster? But in my case I am right said Geryon to the
Dog they were sitting on the bluffs The dog regarded him
Joyfully



XII. WINGS

Steps off a scraped March sky and sinks
Up into the blind Atlantic morning One small
Red dog jumping across the beach miles below
Like a freed shadow



XIII. HERAKLES' KILLING CLUB

Little red dog did not see it he felt it All
Events carry but one



XIV. HERAKLE'S ARROW

Arrow means kill It parted Geryon's skull like a comb Made
The boy neck lean At an odd slow angle sideways as when a
Poppy shames itself in a whip of Nude breeze



XV. TOTAL THINGS KNOWN ABOUT GERYON

He loved lightning He lived on an island His mother was a
Nymph of a river that ran to the sea His father was a gold
Cutting tool Old scholia say that Stesichoros says that
Geryon had six hands and six feet and wings He was red and
His strange red cattle excited envy Herakles came and
Killed him for his cattle

The dog too



XVI. GERYON'S END

The red world And corresponding red breezes
Went on Geryon did not"
